JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,
1,12,40000000,40000000,2,1,
0,12,32000000,32000000,1,1,
1,8,40000000,19000000,2,1,
1,84,90000000,62141000,2,1,
1,11,10000000,10000000,2,1,
1,60,60000000,39000000,2,1,
1,12,34000000,34000000,#N/A,1,
1,12,10000000,9073286,1,1,
1,30,10000000,6664650,2,1,
0,60,18000000,17700000,2,1,
0,12,20000000,20000000,1,1,
1,11,14500000,9650000,5,1,
1,60,50000000,42499985,2,1,
1,12,30000000,30000000,1,1,
0,60,300000000,260000000,2,1,
0,12,10000000,7164577,1,1,
1,12,7000000,7000000,2,1,
1,12,7000000,7000000,5,1,
1,12,21000000,21000000,1,1,
1,12,10000000,4227069,1,1,
1,24,25000000,18749998,2,1,
1,10,10000000,10000000,2,1,
1,12,29000000,29000000,1,1,
1,10,19000000,19000000,5,1,
0,12,20000000,20000000,1,1,
0,11,9000000,9000000,2,1,
0,12,18000000,9000000,5,1,
0,12,27000000,27000000,1,1,
0,12,27000000,27000000,#N/A,1,
0,12,10000000,3559162,1,1,
0,11,34000000,34000000,1,1,
1,60,60000000,55000000,2,1,
1,12,10000000,9233505,1,1,
0,12,5000000,3333320,1,1,
0,6,8000000,4000000,2,1,
0,24,70000000,8749930,2,1,
1,12,4000000,3666665,2,1,
1,12,20000000,20000000,1,1,
1,36,15000000,10416630,2,1,
1,12,10000000,10000000,5,1,
1,12,43000000,43000000,1,1,
1,12,10000000,4071452,1,1,
1,12,38000000,38000000,1,1,
1,24,7500000,4675000,2,1,
1,6,5000000,5000000,2,1,
1,12,10000000,4107108,1,1,
1,163,50000000,28006930,#N/A,1,
1,60,40000000,37999990,2,1,
1,12,28000000,28000000,5,1,
1,11,45000000,45000000,1,1,
1,36,20000000,13333280,2,1,
1,60,50000000,3333240,2,1,
1,60,50000000,29999960,2,1,
1,11,55000000,55000000,1,1,
1,36,10000000,6944420,1,1,
1,12,5500000,5500000,2,1,
1,12,10000000,6643196,1,1,
1,60,90000000,76500000,1,1,
1,11,60000000,60000000,1,1,
1,12,10000000,7652167,1,1,
1,96,135000000,106875000,1,1,
1,60,10000000,9833330,1,1,
1,12,10000000,2000000,1,1,
1,60,60000000,29000000,1,1,
1,11,50000000,50000000,1,1,
1,36,25000000,13194435,2,1,
0,60,200000000,179999990,2,1,
0,12,12000000,12000000,2,1,
1,9,11000000,11000000,#N/A,1,
1,12,10000000,8104073,1,1,
1,36,3000000,749955,1,1,
0,7,5000000,5000000,#N/A,1,
0,9,7500000,7500000,2,1,
0,24,21000000,20125000,2,1,
1,48,31000000,3874930,1,1,
1,12,15000000,15000000,1,1,
1,11,12000000,12000000,1,1,
1,60,30000000,25233330,1,1,
1,10,10000000,10000000,2,1,
1,12,10000000,0,1,1,
1,11,7000000,7000000,2,1,
1,11,21200000,21200000,1,1,
0,11,14000000,14000000,2,1,
0,12,20000000,20000000,1,1,
0,60,25000000,23749990,1,1,
1,10,6000000,6000000,2,1,
1,11,6000000,6000000,5,1,
1,11,20000000,20000000,1,1,
1,12,10000000,7000000,1,1,
0,48,25000000,13541630,2,1,
0,12,60000000,60000000,1,1,
1,11,21000000,21000000,1,1,
1,12,500000000,500000000,1,1,
1,12,28000000,28000000,2,1,
1,60,25000000,25000000,2,1,
1,36,5000000,4583330,1,1,
1,60,90000000,54000000,2,1,
1,11,33000000,33000000,2,1,
1,12,10000000,9522500,1,1,
1,60,10000000,166470,1,1,
1,11,8000000,8000000,2,1,
1,60,15000000,14250000,2,1,
1,6,36500000,7300000,1,1,
1,8,10000000,10000000,#N/A,1,
0,4,10000000,10000000,#N/A,1,
1,12,24000000,24000000,1,1,
0,60,40000000,18666560,1,1,
1,12,14000000,14000000,1,1,
0,12,10000000,4026024,1,1,
0,60,15000000,8500000,2,1,
0,6,4500000,4500000,2,1,
1,60,30000000,27000000,1,1,
0,11,18000000,18000000,1,1,
0,12,7000000,7000000,2,1,
0,12,14000000,14000000,1,1,
0,12,10000000,4154910,1,1,
0,11,30000000,30000000,1,1,
1,7,20000000,20000000,2,1,
0,11,20000000,20000000,1,1,
1,8,4000000,1500000,1,1,
1,60,30000000,29000000,1,1,
1,12,5000000,1249970,1,1,
0,36,20000000,6666680,1,1,
1,36,15000000,210000,1,1,
1,11,10000000,10000000,2,1,
1,84,100000000,77380880,2,1,
1,12,10000000,0,1,1,
1,60,15000000,13000000,1,1,
1,5,6000000,6000000,#N/A,1,
1,8,7000000,7000000,2,1,
1,12,10000000,8526104,1,1,
0,24,20000000,11666650,1,1,
0,36,30000000,26516657,1,1,
0,12,60000000,60000000,1,1,
1,12,15000000,15000000,2,1,
