JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,,
L,12,50000000,50000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,7,9500000,9500000,THR 2024 Dapen,1,,
L,12,10000000,5000000,Gaji,1,,
L,60,30000000,19000000,pot gaji,1,,
L,3,4500000,4500000,Cutan Sept 2023,1,,
L,48,80000000,61666630,pot gaji,1,,
L,60,20000000,19333330,pot gaji,1,,
L,12,7000000,7000000,THR 2024,1,,
L,12,21000000,21000000,Japrod 2023,1,,
L,7,21000000,21000000,"Natal 2023, Cubes Jan 2024",1,,
L,12,10000000,4218251,Gaji,1,,
L,10,6600000,6600000,Natal 2023,1,,
L,12,20000000,20000000,Japrod 2023,1,,
L,11,6500000,6500000,THR 2024,1,,
L,12,10000000,2548766,Gaji,1,,
L,11,20000000,20000000,"Japrod 2023, Natal 2023",1,,
L,12,10000000,4538818,Gaji,1,,
L,60,100000000,63333260,Gaji,1,,
L,10,38000000,19000000,"THR 2023, Cutan Sept 2023 dan Natal 2023, japrod 1",1,,
L,36,15000000,12083310,Gaji,1,,
P,60,115000000,53666560,Manfaat pensiun,1,,
P,12,10000000,5178862,Manfaat pensiun,1,,
L,12,10000000,10000000,"Natal 2023, THR 2024",1,,
L,10,14500000,14500000,Cubes Maret 2024,1,,
L,12,13000000,13000000,"THR 2024, Natal 2023",1,,
L,12,20000000,20000000,"Japrod 2023, Natal 2023, Cutan Sept 2023",1,,
L,24,11000000,10541665,pot gaji,1,,
L,12,60000000,60000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,60,65000000,56333320,pot gaji,1,,
L,11,23500000,23500000,"THR 2024, Natal 2023",1,,
L,11,35500000,35500000,Japrod 2023,1,,
P,60,20000000,19000000,Gaji,1,,
P,12,20700000,20700000,"Natal 2023, Cubes Jan 2024",1,,
P,12,28000000,28000000,"Japrod 2023, THR 2024",1,,
P,12,10000000,0,Gaji,1,,
P,10,10000000,10000000,Natal 2023,1,,
P,12,10000000,3069600,Gaji,1,,
P,60,16000000,10133260,Manfaat pensiun,1,,
P,12,20000000,20000000,"Natal 2023, THR 2024",1,,
P,11,37000000,37000000,Japrod 2023,1,,
P,11,15000000,15000000,"Japrod 2023, Natal 2023",1,,
P,36,20000000,19444440,pot gaji,1,,
P,12,10000000,10000000,Gaji,1,,
P,60,50000000,32049965,Gaji,1,,
P,18,20000000,7777735,Gaji,1,,
P,120,160000000,141333310,pot gaji,1,,
P,12,10000000,8655136,Gaji,1,,
L,9,10000000,5000000,"Natal 2023, cutan Sept 2023",1,,
L,12,7500000,7500000,Cutan Sept 2023,1,,
L,9,12000000,12000000,Natal 2023,1,,
L,12,15000000,15000000,Japrod 2023,1,,
L,48,30000000,29375000,pot gaji,1,,
L,11,13000000,13000000,"Natal 2023, THR 2024",1,,
L,12,20000000,20000000,Japrod 2023,1,,
L,60,23000000,4983255,Gaji,1,,
L,36,35000000,34027775,"Manfaat pensiun, Kend rd2 merk Vespa Th2012",1,,
L,12,5500000,5500000,Natal Dapen 2023,1,,
L,12,5000000,5000000,THR 2024 Dapen,1,,
L,12,60000000,60000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,12,30000000,30000000,Pot gaji,1,,
L,12,10000000,6223165,Jogoboyo,1,,
L,36,18000000,7000000,Kend rd 2 NoBPKB : I-09326153,1,,
L,12,5600000,5600000,"Natal 2023, Cutan Maret 2024",1,,
L,12,12400000,12400000,"Japrod 2023, THR 2024",1,,
L,12,10000000,4108983,Gaji,1,,
P,36,20000000,9444360,Gaji,1,,
P,11,22000000,12000000,"THR 2023, Natal 2023",1,,
P,10,10000000,10000000,THR 2024,1,,
P,12,10000000,8409748,Gaji,1,,
L,24,7000000,291590,pot gaji,1,,
L,36,20000000,14999960,pot gaji,1,,
L,36,15000000,1249890,Manfaat pensiun,1,,
L,6,100000000,100000000,Pemby Termin Proyek Pembangunan ,1,,
P,60,20000000,12999965,pot manfaat pensiunan,1,,
P,36,23500000,21541660,pot gaji,1,,
